start new simulation
TRONROUT0000000073472415 capacity : 42.0689909545949
TRONROUT0000000073481292 capacity : 1068.5226020791652
TRONROUT0000000073493466 capacity : 128.35285751535923
TRONROUT0000000073494028 capacity : 317.82518531117074
TRONROUT0000002000211585 capacity : 35.70014005589572
TRONROUT0000000073487338 capacity : 60.67356241003035
TRONROUT0000000073503477 capacity : 66.4798499169209
TRONROUT0000000073476822 capacity : 22.063544591969254
TRONROUT0000000073517026 capacity : 30.835855753229012
TRONROUT0000000073517220 capacity : 15.840454539292722
TRONROUT0000000073485349 capacity : 10.751744046049371
TRONROUT0000002206943984 capacity : 211.82255827815675
TRONROUT0000000073486799 capacity : 94.33106412543532
TRONROUT0000000073486710 capacity : 11.580155439715083
TRONROUT0000000073487365 capacity : 205.6014427284635
TRONROUT0000000073486745 capacity : 178.56052516587346
TRONROUT0000000073486902 capacity : 647.69463748001
TRONROUT0000002009235026 capacity : 77.09611854785592
TRONROUT0000000073522280 capacity : 684.3348367617302
TRONROUT0000002223813132 capacity : 30.306873956342592
TRONROUT0000002244667020 capacity : 27.777934919725368
TRONROUT0000002223818099 capacity : 79.32902024573977
TRONROUT0000002223818219 capacity : 8.421637467209745
TRONROUT0000002223818525 capacity : 17.70197729088487
TRONROUT0000002223818755 capacity : 85.73395767335785
TRONROUT0000002223811323 capacity : 146.74880624770688
TRONROUT0000002223815667 capacity : 1294.248338289718
TRONROUT0000002223816478 capacity : 451.9229824368411
TRONROUT0000002223816594 capacity : 1765.1441235933817
TRONROUT0000002223816605 capacity : 386.1382435214134
TRONROUT0000002223816659 capacity : 49.873289832041664
TRONROUT0000002223816608 capacity : 1993.4786023075862
TRONROUT0000002223818059 capacity : 23.321234957712633
TRONROUT0000002223818056 capacity : 712.3807835802717
TRONROUT0000002223819235 capacity : 30.5621754190812
TRONROUT0000002223822021 capacity : 234.63766368884308
TRONROUT0000002223371152 capacity : 131.3081543269125
TRONROUT0000000073540458 capacity : 769.283643688243
TRONROUT0000000222419080 capacity : 131.49509496546068
TRONROUT0000000073496373 capacity : 65.50847273435707
TRONROUT0000002223933303 capacity : 309.4865266772889
TRONROUT0000002223935900 capacity : 1134.2129549518218
TRONROUT0000000073514058 capacity : 14.28514376001481
TRONROUT0000000073514061 capacity : 295.0333680954324
TRONROUT0000000223321042 capacity : 139.88651002252482
TRONROUT0000002244279290 capacity : 165.36905427419651
TRONROUT0000002244405291 capacity : 36.56993300533177
TRONROUT0000002244424242 capacity : 299.04380949926815
TRONROUT0000002245130341 capacity : 448.840269386037
TRONROUT0000002245191061 capacity : 5.408326913208899
TRONROUT0000002245191062 capacity : 10.807404868945358
TRONROUT0000002244666677 capacity : 141.19764014330204
TRONROUT0000002244666691 capacity : 90.60632726833694
TRONROUT0000002202990730 capacity : 73.0243235244049
TRONROUT0000002223814960 capacity : 540.2450559283468
TRONROUT0000002223814963 capacity : 571.9682595733555
TRONROUT0000002223814959 capacity : 134.53582332395422
TRONROUT0000000216874977 capacity : 138.0220802515684
TRONROUT0000002244667941 capacity : 1092.9454447203714
TRONROUT0000002244667952 capacity : 1748.4381421995308
TRONROUT0000002244667987 capacity : 103.70935876683788
TRONROUT0000002244667995 capacity : 40.99478727819
TRONROUT0000002244668010 capacity : 118.17452108390933
TRONROUT0000002244668069 capacity : 95.2071680771931
TRONROUT0000002244668070 capacity : 95.0582132172066
TRONROUT0000002244667259 capacity : 316.38378524441873
TRONROUT0000002244994423 capacity : 24.80053506989931
TRONROUT0000000234881286 capacity : 9.433981132411995
TRONROUT0000000073471251 capacity : 129.51177552529657
TRONROUT0000000073481258 capacity : 56.40853069685177
TRONROUT0000000073514097 capacity : 60.68516812264563
TRONROUT0000000073514180 capacity : 114.34059271754172
TRONROUT0000000073514181 capacity : 42.416122254227396
TRONROUT0000000073514187 capacity : 68.92111432617622
TRONROUT0000000320187317 capacity : 8.7200917433031
TRONROUT0000000073514056 capacity : 35.52904815916075
TRONROUT0000000073514222 capacity : 72.18697943515326
TRONROUT0000000073520996 capacity : 27.66224864253525
TRONROUT0000000073521025 capacity : 51.28944022507644
TRONROUT0000000073521068 capacity : 31.38043604137348
TRONROUT0000000098668530 capacity : 104.10437707535395
TRONROUT0000000101898983 capacity : 157.20340990766698
TRONROUT0000000223307829 capacity : 24.687648734211297
TRONROUT0000000223307947 capacity : 30.294450988210713
TRONROUT0000000223307956 capacity : 10.178899744385857
TRONROUT0000000223323596 capacity : 303.28693652502704
TRONROUT0000000289567486 capacity : 57.34819828080929
TRONROUT0000000320187320 capacity : 31.831329128861796
TRONROUT0000000320187321 capacity : 30.31426587734085
TRONROUT0000000320187323 capacity : 23.01453366338763
TRONROUT0000000320187324 capacity : 34.46399661094551
