TopoID,entryDate,distance,duration,meanSpead,lateness
'TRONROUT0000000073486876','2023-10-12 07:12:58',2997444,104562.0,103.0,0.0
'TRONROUT0000000073486881','2023-10-12 06:57:34',135187,22248.0,38.937782479084525,1.1394364842773343
'TRONROUT0000000073486902','2023-10-12 06:58:22',1484568,54984.0,97.0,0.0
'TRONROUT0000000073487192','2023-10-12 07:02:13',117008,4544.0,93.0,0.0
'TRONROUT0000000073487193','2023-10-12 06:58:00',76908,3393.0,82.0,0.0
'TRONROUT0000000073487335','2023-10-12 07:01:49',319224,12408.0,93.0,0.0
'TRONROUT0000000073487336','2023-10-12 06:58:00',1797800,71912.0,90.0,0.0
'TRONROUT0000000073487338','2023-10-12 07:01:35',68808,5640.0,44.0,0.0
'TRONROUT0000000073487342','2023-10-12 07:01:40',124630,10197.0,44.0,0.0
'TRONROUT0000000073487346','2023-10-12 06:58:00',2071704,168055.0,43.983390484354906,0.00846549507072439
'TRONROUT0000000073487375','2023-10-12 06:58:42',125202,8943.0,49.0,0.0
'TRONROUT0000000073487376','2023-10-12 06:58:40',241461,17902.0,48.97920161019792,0.001789108800178911
'TRONROUT0000000073487377','2023-10-12 07:02:00',40608,2256.0,64.0,0.0
'TRONROUT0000000073487378','2023-10-12 06:58:39',178860,8943.0,71.0,0.0
'TRONROUT0000000073487382','2023-10-12 06:58:23',232518,8943.0,93.0,0.0
'TRONROUT0000000073487383','2023-10-12 06:58:03',29328,1128.0,94.0,0.0
'TRONROUT0000000073487384','2023-10-12 06:58:24',1582911,62601.0,91.0,0.0
'TRONROUT0000000073487385','2023-10-12 07:02:05',234624,9024.0,94.0,0.0
'TRONROUT0000000073487412','2023-10-12 06:58:31',1801362,71696.0,91.0,0.0
'TRONROUT0000000073487415','2023-10-12 07:02:02',46248,2256.0,73.0,0.0
'TRONROUT0000000073487417','2023-10-12 07:02:04',29354,1129.0,94.0,0.0
'TRONROUT0000000073487423','2023-10-12 06:58:43',348777,17886.0,70.0,0.0
'TRONROUT0000000073487437','2023-10-12 06:58:21',456093,17886.0,93.0,0.0
'TRONROUT0000000073490843','2023-10-12 06:58:00',26142219,766206.0,123.0,0.0
'TRONROUT0000000073490844','2023-10-12 06:59:00',1442205,53415.0,97.0,0.0
'TRONROUT0000000073490845','2023-10-12 07:00:37',13986,6993.0,8.0,0.0
'TRONROUT0000000073490847','2023-10-12 06:59:00',1103290,35590.0,112.0,0.0
'TRONROUT0000000073490848','2023-10-12 07:00:38',2409165,70650.0,123.0,0.0
'TRONROUT0000000073490849','2023-10-12 06:59:08',266730,17782.0,53.0,0.0
'TRONROUT0000000073490850','2023-10-12 07:00:36',118881,32545.0,39.12955812955813,3.653939653939654
'TRONROUT0000000073490852','2023-10-12 06:58:56',960174,35562.0,98.0,0.0
'TRONROUT0000000073490854','2023-10-12 06:58:58',6064920,179117.0,121.6149231976679,0.04131629106402063
'TRONROUT0000000073493394','2023-10-12 06:59:00',1153233,47556.0,88.0,0.0
'TRONROUT0000000073493395','2023-10-12 06:58:10',2193804,88938.0,89.0,0.0
'TRONROUT0000000073493436','2023-10-12 06:58:55',7516328,266510.0,101.9754688725665,0.005205733437923412
'TRONROUT0000000073493437','2023-10-12 06:57:12',7137944,693524.0,87.31158383982839,39.98820164461924
'TRONROUT0000000073493439','2023-10-12 06:59:23',2252336,92351.0,90.08246726953705,0.23235254420299636
'TRONROUT0000000073493440','2023-10-12 06:58:07',311010,14810.0,74.0,0.0
'TRONROUT0000000073493441','2023-10-12 06:58:08',637131,29634.0,77.0,0.0
'TRONROUT0000000073493442','2023-10-12 06:58:00',2457580,95443.0,92.99790444258173,0.0002514668901927913
'TRONROUT0000000073493443','2023-10-12 06:59:16',2828202,98007.0,104.0,0.0
'TRONROUT0000000073493445','2023-10-12 06:58:00',2651706,103698.0,92.0,0.0
'TRONROUT0000000073493446','2023-10-12 06:57:00',3887650,143544.0,98.0,0.0
'TRONROUT0000000073493466','2023-10-12 06:58:00',513893,23902.0,77.0,0.0
'TRONROUT0000000073493469','2023-10-12 06:59:00',1627240,71790.0,82.0,0.0
'TRONROUT0000000073493475','2023-10-12 06:59:14',812000,28000.0,105.0,0.0
'TRONROUT0000000073493476','2023-10-12 06:58:08',202028,11884.0,60.0,0.0
'TRONROUT0000000073493482','2023-10-12 06:59:29',266562,14809.0,64.0,0.0
'TRONROUT0000000073493612','2023-10-12 06:58:38',4906744,192712.0,92.0,0.0
'TRONROUT0000000073493615','2023-10-12 06:59:06',1777650,71106.0,90.0,0.0
'TRONROUT0000000073493976','2023-10-12 06:58:16',3439168,133416.0,93.0,0.0
'TRONROUT0000000073493977','2023-10-12 06:59:25',1580306,71292.0,80.0,0.0
'TRONROUT0000000073494024','2023-10-12 06:57:00',7087860,576675.0,44.0,0.0
'TRONROUT0000000073494028','2023-10-12 07:01:09',378102,30914.0,44.0,0.0
'TRONROUT0000000073494029','2023-10-12 06:58:31',473920,29620.0,57.0,0.0
'TRONROUT0000000073494030','2023-10-12 06:58:37',355488,14812.0,88.0,0.0
'TRONROUT0000000073494032','2023-10-12 06:59:36',328779,12177.0,97.0,0.0
'TRONROUT0000000073494056','2023-10-12 06:59:12',272343,11841.0,82.0,0.0
'TRONROUT0000000073494058','2023-10-12 06:58:49',912900,76075.0,43.0,0.0
'TRONROUT0000000073494059','2023-10-12 06:59:19',1851876,71226.0,94.0,0.0
'TRONROUT0000000073494063','2023-10-12 06:59:13',1113712,47392.0,85.0,0.0
'TRONROUT0000000073494064','2023-10-12 06:59:54',309246,14726.0,75.0,0.0
'TRONROUT0000000073494066','2023-10-12 06:59:17',402662,23686.0,61.0,0.0
'TRONROUT0000000073494067','2023-10-12 06:58:25',2310516,88866.0,93.0,0.0
'TRONROUT0000000073494068','2023-10-12 06:58:33',1303368,59244.0,80.0,0.0
'TRONROUT0000000073494276','2023-10-12 06:57:55',1168700,46455.0,92.60511679644048,0.16740823136818686
'TRONROUT0000000073494421','2023-10-12 06:58:00',1351220,129420.0,41.00173176832788,1.4514142774677699
'TRONROUT0000000073494423','2023-10-12 07:00:13',238428,19332.0,44.0,0.0
'TRONROUT0000000073494425','2023-10-12 06:57:00',1695309,139994.0,43.698541681781904,0.15700500616701735
'TRONROUT0000000073494450','2023-10-12 06:58:33',551180,53854.0,42.85106861642295,1.0578177727784026
'TRONROUT0000000073494451','2023-10-12 06:57:17',533460,26673.0,72.0,0.0
'TRONROUT0000000073494452','2023-10-12 07:00:09',39738,5802.0,51.054934823091244,3.4022346368715084
'TRONROUT0000000073494455','2023-10-12 07:00:11',23628,2148.0,39.0,0.0
'TRONROUT0000000073494457','2023-10-12 06:57:20',4853610,188055.0,93.0,0.0
'TRONROUT0000000073494458','2023-10-12 06:59:47',649842,26381.0,89.54901960784314,0.49019607843137253
'TRONROUT0000000073494463','2023-10-12 07:00:49',72416,3504.0,75.0,0.0
'TRONROUT0000000073494465','2023-10-12 07:00:37',312123,11690.0,96.0,0.0
'TRONROUT0000000073494471','2023-10-12 06:58:20',1440180,144604.0,41.298425196850395,3.2659167604049495
'TRONROUT0000000073494476','2023-10-12 06:58:00',3619600,134386.0,99.4502154934247,0.850922753895458
'TRONROUT0000000073494477','2023-10-12 07:00:55',464117,16618.0,101.0,0.0
'TRONROUT0000000073494495','2023-10-12 07:00:36',22554,1074.0,76.0,0.0
'TRONROUT0000000073494511','2023-10-12 06:58:15',400050,21698.0,78.3761529808774,0.4407199100112486
'TRONROUT0000000073494513','2023-10-12 06:58:17',640080,45802.0,79.29010123734533,2.1520809898762656
'TRONROUT0000000073494535','2023-10-12 06:58:00',548146,26958.0,73.0,0.0
'TRONROUT0000000073494536','2023-10-12 07:00:52',71248,3504.0,73.0,0.0
'TRONROUT0000000073494537','2023-10-12 06:58:14',186690,10139.0,75.207424071991,0.14049493813273342
'TRONROUT0000000073499997','2023-10-12 06:58:25',13154964,387948.0,122.0,0.0
'TRONROUT0000000073500001','2023-10-12 06:59:39',1181460,40740.0,104.0,0.0
'TRONROUT0000000073500002','2023-10-12 06:58:47',5192636,160047.0,117.0,0.0
'TRONROUT0000000073500004','2023-10-12 06:58:16',4085752,123277.0,119.0,0.0
'TRONROUT0000000073502557','2023-10-12 06:58:45',201330,17896.0,40.0,0.0
'TRONROUT0000000073502562','2023-10-12 06:59:48',1052909,44178.0,86.0,0.0
'TRONROUT0000000073502563','2023-10-12 06:59:47',14854,7427.0,8.0,0.0
'TRONROUT0000000073502808','2023-10-12 07:13:02',1532726,125918.0,44.0,0.0
'TRONROUT0000000073502814','2023-10-12 06:58:02',1555758,135951.0,41.67970982633546,1.8859089909870301
'TRONROUT0000000073502815','2023-10-12 07:29:48',35052,2898.0,44.0,0.0
'TRONROUT0000000073502843','2023-10-12 06:57:54',1742636,71128.0,88.0,0.0
'TRONROUT0000000073502845','2023-10-12 06:59:25',309409,12287.0,91.0,0.0
'TRONROUT0000000073502846','2023-10-12 06:58:30',50039,4551.0,38.99164651571774,0.00043965706748735987
'TRONROUT0000000073502847','2023-10-12 06:58:31',780444,64205.0,43.826248904469765,0.06770376862401402
'TRONROUT0000000073502848','2023-10-12 07:29:44',6624,552.0,43.0,0.0
'TRONROUT0000000073506695','2023-10-12 06:59:00',6925304,199636.0,125.0,0.0
'TRONROUT0000000073507318','2023-10-12 06:57:55',12895792,371994.0,125.0,0.0
'TRONROUT0000000073507319','2023-10-12 06:57:00',5303220,156377.0,122.0,0.0
'TRONROUT0000000073509789','2023-10-12 06:58:16',2577619,98267.0,95.0,0.0
'TRONROUT0000000073509799','2023-10-12 06:57:49',4132350,165294.0,90.0,0.0
'TRONROUT0000000073509800','2023-10-12 06:57:58',12208308,509071.0,90.36788521390515,1.853985335232368
'TRONROUT0000000073509830','2023-10-12 06:58:06',1990674,76860.0,93.0,0.0
'TRONROUT0000000073509831','2023-10-12 06:57:43',673363,36398.0,67.0,0.0
'TRONROUT0000000073509832','2023-10-12 06:57:00',1687768,67212.0,90.0,0.0
'TRONROUT0000000073509833','2023-10-12 06:57:45',1752384,73016.0,86.0,0.0
'TRONROUT0000000073509834','2023-10-12 06:58:00',2579776,104384.0,89.0,0.0
'TRONROUT0000000073509843','2023-10-12 06:58:04',252348,14844.0,61.0,0.0
'TRONROUT0000000073509845','2023-10-12 06:58:00',657448,29884.0,79.0,0.0
'TRONROUT0000000073514305','2023-10-12 06:57:00',12297804,364920.0,121.0,0.0
'TRONROUT0000000073514306','2023-10-12 06:58:17',6101640,179460.0,122.0,0.0
'TRONROUT0000000073514333','2023-10-12 06:58:29',7424501,215724.0,124.0,0.0
